Date,High,Close,Low,Open,Ind_Name,std_close,ROI,7_Days_Average_ROI,ROI_Monthly_Avg,Kurtosis,Skewness,yearly_std
2020-01-02,9385.891,9258.853,9220.35,9374.647,TUNALIM,1136.849769446934,-1.235182508738747,-0.23615907746005618,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-03,9400.689,9355.501,9245.532,9257.826,TUNALIM,1136.849769446934,1.0550533138125635,-0.23615907746005618,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-06,9410.592,9270.607,9264.979,9264.34,TUNALIM,1136.849769446934,0.0676464810229312,-0.23615907746005618,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-07,9306.529,9234.977,9210.644,9267.688,TUNALIM,1136.849769446934,-0.3529575013746614,-0.23615907746005618,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-08,9235.565,9158.477,9162.298,9234.124,TUNALIM,1136.849769446934,-0.8192114379230669,-0.23615907746005618,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-09,9229.081,9189.149,9125.232,9163.783,TUNALIM,1136.849769446934,0.2768070784740318,-0.23615907746005618,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-10,9193.637,9125.893,9099.458,9185.162,TUNALIM,1136.849769446934,-0.6452689674934446,-0.23615907746005618,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-13,9200.479,9111.993,9109.242,9126.055,TUNALIM,1136.849769446934,-0.15408629468044954,-0.010174204461127035,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-15,9222.462,9217.274,9142.477,9147.046,TUNALIM,1136.849769446934,0.767766992753717,-0.010174204461127035,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-16,9305.048,9268.707,9175.608,9220.056,TUNALIM,1136.849769446934,0.5276649078920977,-0.010174204461127035,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-17,9287.079,9252.866,9133.848,9245.443,TUNALIM,1136.849769446934,0.0802882025231315,-0.010174204461127035,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-20,9271.531,9167.141,9142.387,9264.643,TUNALIM,1136.849769446934,-1.052409682704454,-0.010174204461127035,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-21,9271.669,9262.024,9173.264,9267.975,TUNALIM,1136.849769446934,-0.0642103587892817,-0.010174204461127035,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-22,9266.613,9254.333,9213.805,9270.671,TUNALIM,1136.849769446934,-0.1762331982226501,-0.010174204461127035,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-23,9340.405,9337.822,9217.075,9269.197,TUNALIM,1136.849769446934,0.7403553943238017,0.49745553907944096,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-24,9565.142,9445.322,9289.206,9313.9,TUNALIM,1136.849769446934,1.4110308248961283,0.49745553907944096,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-27,9664.094,9649.828,9447.235,9564.783,TUNALIM,1136.849769446934,0.8891471975893241,0.49745553907944096,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-28,9735.012,9712.276,9681.02,9701.52,TUNALIM,1136.849769446934,0.11086922461634263,0.49745553907944096,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-29,9718.054,9694.076,9650.827,9714.012,TUNALIM,1136.849769446934,-0.20522931204945508,0.49745553907944096,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-30,9749.623,9708.183,9644.638,9722.443,TUNALIM,1136.849769446934,-0.14667095502641053,0.49745553907944096,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-01-31,9789.401,9791.649,9651.109,9725.256,TUNALIM,1136.849769446934,0.6826863992063554,0.49745553907944096,-0.11578197344572372,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-02-03,9856.925,9851.41,9711.474,9787.974,TUNALIM,1136.849769446934,0.6481014354962498,-0.04692190864322516,-0.21552272981819093,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-02-04,10000.665,9905.456,9861.19,9867.353,TUNALIM,1136.849769446934,0.3861521929944229,-0.04692190864322516,-0.21552272981819093,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-02-05,9977.358,9860.745,9849.096,9972.85,TUNALIM,1136.849769446934,-1.1241019367582943,-0.04692190864322516,-0.21552272981819093,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-02-06,9932.516,9848.982,9759.037,9839.807,TUNALIM,1136.849769446934,0.093243698783922,-0.04692190864322516,-0.21552272981819093,2.7372517075399014,-0.18328810327884107,830.6786604531065
2020-02-07,9987.279,9913.594,9861.905,9926.815,TUNALIM,1136.849769446934,-0.13318471231710644,-0.04692190864322516,-0.21552272981819093,2.7372517075399014,-0.18328810327884107,830.6786604531065
