Date,Valeur,Price,Open,High,Low,Vol.,Change %
09/21/2023,TJL,16.51,16.51,16.51,16.51,,-0.54%
09/20/2023,TJL,16.6,16.51,16.6,16.51,0.16K,0.00%
09/19/2023,TJL,16.6,16.6,16.6,16.6,2.20K,-0.30%
09/18/2023,TJL,16.65,16.65,16.65,16.65,0.06K,0.18%
09/15/2023,TJL,16.62,16.62,16.62,16.6,1.06K,-0.18%
09/14/2023,TJL,16.65,16.65,16.65,16.51,0.12K,0.00%
09/13/2023,TJL,16.65,16.5,16.65,16.5,0.59K,0.91%
09/12/2023,TJL,16.5,16.5,16.5,16.32,0.39K,0.00%
09/11/2023,TJL,16.5,16.32,16.5,16.32,0.22K,0.36%
09/08/2023,TJL,16.44,16.32,16.44,16.32,0.05K,-0.36%
09/07/2023,TJL,16.5,16.45,16.5,16.32,0.43K,-0.90%
09/06/2023,TJL,16.65,16.6,16.65,16.6,0.45K,0.00%
09/05/2023,TJL,16.65,16.7,16.7,16.41,0.38K,-0.30%
09/04/2023,TJL,16.7,16.39,16.7,16.39,3.55K,2.33%
09/01/2023,TJL,16.32,16.32,16.32,16.32,0.02K,-0.43%
08/31/2023,TJL,16.39,16.39,16.39,16.38,3.58K,0.00%
08/29/2023,TJL,16.39,16.39,16.39,16.39,0.23K,0.00%
08/28/2023,TJL,16.39,16.38,16.39,16.38,0.33K,0.00%
08/24/2023,TJL,16.39,16.2,16.39,16.2,0.11K,0.00%
08/23/2023,TJL,16.39,16.3,16.39,16.2,0.11K,0.00%
08/22/2023,TJL,16.39,16.39,16.39,16.39,0.22K,0.24%
08/21/2023,TJL,16.35,16.39,16.39,16.35,0.58K,0.31%
08/18/2023,TJL,16.3,16.39,16.39,16.3,0.30K,-0.55%
08/17/2023,TJL,16.39,16.39,16.39,16.39,0.51K,-0.06%
08/15/2023,TJL,16.4,16.3,16.4,16.3,1.02K,0.61%
08/10/2023,TJL,16.3,16.3,16.38,16.3,0.42K,-0.55%
08/09/2023,TJL,16.39,16.39,16.39,16.39,0.65K,0.00%
08/08/2023,TJL,16.39,16.38,16.39,16.38,1.31K,0.06%
08/07/2023,TJL,16.38,16.38,16.38,16.12,0.45K,-0.12%
08/04/2023,TJL,16.4,16.5,16.5,16.4,0.72K,-1.20%
08/01/2023,TJL,16.6,16.4,16.68,16.4,2.01K,1.22%
07/31/2023,TJL,16.4,16.4,16.4,16.39,6.49K,0.06%
07/28/2023,TJL,16.39,16.39,16.39,16.39,0.81K,0.00%
07/26/2023,TJL,16.39,16.3,16.39,16.3,1.30K,-0.06%
07/21/2023,TJL,16.4,16.38,16.4,16.38,0.62K,0.12%
07/20/2023,TJL,16.38,16.38,16.38,16.38,1.14K,0.00%
07/18/2023,TJL,16.38,16.2,16.4,16.2,1.32K,-0.12%
07/17/2023,TJL,16.4,16.4,16.4,16.4,0.01K,3.80%
07/14/2023,TJL,15.8,15.88,15.88,15.8,1.00K,-2.47%
07/11/2023,TJL,16.2,16,16.39,16,1.54K,1.57%
07/10/2023,TJL,15.95,15.8,15.95,15.8,0.31K,0.00%
07/07/2023,TJL,15.95,15.95,16,15.95,0.33K,-0.31%
07/06/2023,TJL,16,16,16,16,1.58K,0.00%
07/05/2023,TJL,16,16,16,16,0.06K,0.00%
